date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:24:43	24/24	---M--	200	added ('OK')	text/plain	etag:%22615d6d36-18%22	https://eth30.bi/robots.txt		(from )
00:24:43	100450/100450	---MCZ	200	added ('OK')	text/html	date:Tue,%2005%20Mar%202024%2016:24:43%20GMT	https://eth30.bi/	E:/QQ/eth30.bi/index.html	(from )
00:24:44	7051/7051	---MCZ	200	added ('OK')	text/css	etag:W/%2265a801b1-1b8b%22	https://eth30.bi/static/css/theme.min.css?1	E:/QQ/eth30.bi/static/css/theme.minc4ca.css	(from https://eth30.bi/)
00:24:44	141025/141025	---MCZ	200	added ('OK')	text/css	etag:W/%2265a8007a-226e1%22	https://eth30.bi/static/css/bootstrap.min.css	E:/QQ/eth30.bi/static/css/bootstrap.min.css	(from https://eth30.bi/)
00:24:44	56666/56666	---MCZ	200	added ('OK')	text/css	etag:W/%2265a80079-dd5a%22	https://eth30.bi/static/css/animate.min.css	E:/QQ/eth30.bi/static/css/animate.min.css	(from https://eth30.bi/)
00:24:44	4280/4280	---MCZ	200	added ('OK')	text/css	etag:W/%2265a80081-10b8%22	https://eth30.bi/static/css/icofont.css	E:/QQ/eth30.bi/static/css/icofont.css	(from https://eth30.bi/)
00:24:44	1242/1242	---MCZ	200	added ('OK')	text/css	etag:W/%2265a80080-4da%22	https://eth30.bi/static/css/flaticon.css	E:/QQ/eth30.bi/static/css/flaticon.css	(from https://eth30.bi/)
00:24:45	57912/57912	---MCZ	200	added ('OK')	text/css	etag:W/%2265a80081-e238%22	https://eth30.bi/static/css/fontawesome.min.css	E:/QQ/eth30.bi/static/css/fontawesome.min.css	(from https://eth30.bi/)
00:24:45	615/615	---M--	200	added ('OK')	text/css	etag:%2265a8007a-267%22	https://eth30.bi/static/css/brands.min.css?ver=5.15.3	E:/QQ/eth30.bi/static/css/brands.min52d5.css	(from https://eth30.bi/)
00:24:45	609/609	---M--	200	added ('OK')	text/css	etag:%2265a80083-261%22	https://eth30.bi/static/css/solid.min.css?ver=5.15.3	E:/QQ/eth30.bi/static/css/solid.min52d5.css	(from https://eth30.bi/)
